"NIL (Nuclei di Identità Locale)";"Anno evento";"Nati"
"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"2015";224
"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"2016";216
"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"2017";219
"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"2018";220
"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"2019";199
"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"2020";164
"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"2021";201
"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"2022";199
"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"2023";189
"Forze Armate (56)";"2003";204
"Forze Armate (56)";"2004";202
"Forze Armate (56)";"2005";192
"Forze Armate (56)";"2006";203
"Forze Armate (56)";"2007";193
"Forze Armate (56)";"2008";185
"Forze Armate (56)";"2009";171
"Forze Armate (56)";"2010";151
"Forze Armate (56)";"2011";187
"Forze Armate (56)";"2012";177
"Forze Armate (56)";"2013";165
"Forze Armate (56)";"2014";199
"Forze Armate (56)";"2015";183
"Forze Armate (56)";"2016";172
"Forze Armate (56)";"2017";193
"Forze Armate (56)";"2018";182
"Forze Armate (56)";"2019";171
"Forze Armate (56)";"2020";162
"Forze Armate (56)";"2021";144
"Forze Armate (56)";"2022";157
"Forze Armate (56)";"2023";144
"San Siro (57)";"2003";247
"San Siro (57)";"2004";241
"San Siro (57)";"2005";253
"San Siro (57)";"2006";226
"San Siro (57)";"2007";271
"San Siro (57)";"2008";242
"San Siro (57)";"2009";246
"San Siro (57)";"2010";222
"San Siro (57)";"2011";220
"San Siro (57)";"2012";196
"San Siro (57)";"2013";276
"San Siro (57)";"2014";297
"San Siro (57)";"2015";285
"San Siro (57)";"2016";258
"San Siro (57)";"2017";261
"San Siro (57)";"2018";278
"San Siro (57)";"2019";250
"San Siro (57)";"2020";243
"San Siro (57)";"2021";221
"San Siro (57)";"2022";210
"San Siro (57)";"2023";186
"De Angeli - Monte Rosa (58)";"2003";208
"De Angeli - Monte Rosa (58)";"2004";221
"De Angeli - Monte Rosa (58)";"2005";237
"De Angeli - Monte Rosa (58)";"2006";206
"De Angeli - Monte Rosa (58)";"2007";210
"De Angeli - Monte Rosa (58)";"2008";201
"De Angeli - Monte Rosa (58)";"2009";174
"De Angeli - Monte Rosa (58)";"2010";168
"De Angeli - Monte Rosa (58)";"2011";194
"De Angeli - Monte Rosa (58)";"2012";157
"De Angeli - Monte Rosa (58)";"2013";167
"De Angeli - Monte Rosa (58)";"2014";134
"De Angeli - Monte Rosa (58)";"2015";170
"De Angeli - Monte Rosa (58)";"2016";185
"De Angeli - Monte Rosa (58)";"2017";172
"De Angeli - Monte Rosa (58)";"2018";181
"De Angeli - Monte Rosa (58)";"2019";154
"De Angeli - Monte Rosa (58)";"2020";146
"De Angeli - Monte Rosa (58)";"2021";158
"De Angeli - Monte Rosa (58)";"2022";149
"De Angeli - Monte Rosa (58)";"2023";168
"Tre Torri (59)";"2003";11
"Tre Torri (59)";"2004";11
"Tre Torri (59)";"2005";17
"Tre Torri (59)";"2006";15
"Tre Torri (59)";"2007";10
"Tre Torri (59)";"2008";8
"Tre Torri (59)";"2009";6
"Tre Torri (59)";"2010";12
"Tre Torri (59)";"2011";7
"Tre Torri (59)";"2012";14
"Tre Torri (59)";"2013";8
"Tre Torri (59)";"2014";9
"Tre Torri (59)";"2015";11
"Tre Torri (59)";"2016";13
"Tre Torri (59)";"2017";27
"Tre Torri (59)";"2018";22
"Tre Torri (59)";"2019";13
"Tre Torri (59)";"2020";12
"Tre Torri (59)";"2021";25
"Tre Torri (59)";"2022";15
"Tre Torri (59)";"2023";19
"Stadio - Ippodromi (60)";"2003";119
"Stadio - Ippodromi (60)";"2004";110
"Stadio - Ippodromi (60)";"2005";110
"Stadio - Ippodromi (60)";"2006";114
"Stadio - Ippodromi (60)";"2007";127
"Stadio - Ippodromi (60)";"2008";134
"Stadio - Ippodromi (60)";"2009";113
"Stadio - Ippodromi (60)";"2010";95
"Stadio - Ippodromi (60)";"2011";101
"Stadio - Ippodromi (60)";"2012";88
"Stadio - Ippodromi (60)";"2013";77
"Stadio - Ippodromi (60)";"2014";98
"Stadio - Ippodromi (60)";"2015";95
"Stadio - Ippodromi (60)";"2016";74
"Stadio - Ippodromi (60)";"2017";83
"Stadio - Ippodromi (60)";"2018";78
"Stadio - Ippodromi (60)";"2019";71
"Stadio - Ippodromi (60)";"2020";78
"Stadio - Ippodromi (60)";"2021";78
"Stadio - Ippodromi (60)";"2022";69
"Stadio - Ippodromi (60)";"2023";64
"Quarto Cagnino (61)";"2003";74
"Quarto Cagnino (61)";"2004";78
"Quarto Cagnino (61)";"2005";56
"Quarto Cagnino (61)";"2006";70
"Quarto Cagnino (61)";"2007";60
"Quarto Cagnino (61)";"2008";64
"Quarto Cagnino (61)";"2009";68
"Quarto Cagnino (61)";"2010";72
"Quarto Cagnino (61)";"2011";66
"Quarto Cagnino (61)";"2012";53
"Quarto Cagnino (61)";"2013";55
"Quarto Cagnino (61)";"2014";59
"Quarto Cagnino (61)";"2015";75
"Quarto Cagnino (61)";"2016";63
"Quarto Cagnino (61)";"2017";74
"Quarto Cagnino (61)";"2018";90
"Quarto Cagnino (61)";"2019";62
"Quarto Cagnino (61)";"2020";64
"Quarto Cagnino (61)";"2021";64
"Quarto Cagnino (61)";"2022";70
"Quarto Cagnino (61)";"2023";47
"Quinto Romano (62)";"2003";46
"Quinto Romano (62)";"2004";38
"Quinto Romano (62)";"2005";33
"Quinto Romano (62)";"2006";34
"Quinto Romano (62)";"2007";31
"Quinto Romano (62)";"2008";31
"Quinto Romano (62)";"2009";32
"Quinto Romano (62)";"2010";36
"Quinto Romano (62)";"2011";34
"Quinto Romano (62)";"2012";32
"Quinto Romano (62)";"2013";22
"Quinto Romano (62)";"2014";37
"Quinto Romano (62)";"2015";27
"Quinto Romano (62)";"2016";24
"Quinto Romano (62)";"2017";19
"Quinto Romano (62)";"2018";24
"Quinto Romano (62)";"2019";26
"Quinto Romano (62)";"2020";19
"Quinto Romano (62)";"2021";25
"Quinto Romano (62)";"2022";15
"Quinto Romano (62)";"2023";26
"Figino (63)";"2003";15
"Figino (63)";"2004";17
"Figino (63)";"2005";14
"Figino (63)";"2006";10
"Figino (63)";"2007";16
"Figino (63)";"2008";15
"Figino (63)";"2009";15
"Figino (63)";"2010";14
"Figino (63)";"2011";15
"Figino (63)";"2012";17
"Figino (63)";"2013";14
"Figino (63)";"2014";10
"Figino (63)";"2015";15
"Figino (63)";"2016";13
"Figino (63)";"2017";16
"Figino (63)";"2018";22
"Figino (63)";"2019";23
"Figino (63)";"2020";15
"Figino (63)";"2021";22
"Figino (63)";"2022";24
"Figino (63)";"2023";18
"Trenno (64)";"2003";34
"Trenno (64)";"2004";37
"Trenno (64)";"2005";25
"Trenno (64)";"2006";33
"Trenno (64)";"2007";26
"Trenno (64)";"2008";33
"Trenno (64)";"2009";33
"Trenno (64)";"2010";20
"Trenno (64)";"2011";27
"Trenno (64)";"2012";20
"Trenno (64)";"2013";23
"Trenno (64)";"2014";14
"Trenno (64)";"2015";18
"Trenno (64)";"2016";18
"Trenno (64)";"2017";20
"Trenno (64)";"2018";23
"Trenno (64)";"2019";16
"Trenno (64)";"2020";16
"Trenno (64)";"2021";26
"Trenno (64)";"2022";21
"Trenno (64)";"2023";18
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"2003";217
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"2004";224
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"2005";213
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"2006";231
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"2007";222
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"2008";232
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"2009";203
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"2010";204
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"2011";204
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"2012";203
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"2013";196
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"2014";169
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"2015";171
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"2016";180
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"2017";182
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"2018";197
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"2019";168
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"2020";179
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"2021";185
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"2022";203
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"2023";173
"QT 8 (66)";"2003";28
"QT 8 (66)";"2004";29
"QT 8 (66)";"2005";26
"QT 8 (66)";"2006";35
"QT 8 (66)";"2007";28
"QT 8 (66)";"2008";35
"QT 8 (66)";"2009";28
"QT 8 (66)";"2010";30
"QT 8 (66)";"2011";28
"QT 8 (66)";"2012";40
"QT 8 (66)";"2013";30
"QT 8 (66)";"2014";32
"QT 8 (66)";"2015";24
"QT 8 (66)";"2016";28
"QT 8 (66)";"2017";27
"QT 8 (66)";"2018";29
"QT 8 (66)";"2019";29
"QT 8 (66)";"2020";26
"QT 8 (66)";"2021";29
"QT 8 (66)";"2022";21
"QT 8 (66)";"2023";29
"Portello (67)";"2003";75
"Portello (67)";"2004";60
"Portello (67)";"2005";77
"Portello (67)";"2006";55
"Portello (67)";"2007";74
"Portello (67)";"2008";84
"Portello (67)";"2009";64
"Portello (67)";"2010";63
"Portello (67)";"2011";69
"Portello (67)";"2012";56
"Portello (67)";"2013";45
"Portello (67)";"2014";59
"Portello (67)";"2015";68
"Portello (67)";"2016";68
"Portello (67)";"2017";72
"Portello (67)";"2018";63
"Portello (67)";"2019";65
"Portello (67)";"2020";71
"Portello (67)";"2021";88
"Portello (67)";"2022";77
"Portello (67)";"2023";76
"Pagano (68)";"2003";174
"Pagano (68)";"2004";183
"Pagano (68)";"2005";164
"Pagano (68)";"2006";178
"Pagano (68)";"2007";155
"Pagano (68)";"2008";164
"Pagano (68)";"2009";147
"Pagano (68)";"2010";156
"Pagano (68)";"2011";119
"Pagano (68)";"2012";137
"Pagano (68)";"2013";140
"Pagano (68)";"2014";107
"Pagano (68)";"2015";135
"Pagano (68)";"2016";128
"Pagano (68)";"2017";123
"Pagano (68)";"2018";128
"Pagano (68)";"2019";117
"Pagano (68)";"2020";106
"Pagano (68)";"2021";124
"Pagano (68)";"2022";112
"Pagano (68)";"2023";109
"Sarpi (69)";"2003";330
"Sarpi (69)";"2004";342
"Sarpi (69)";"2005";333
"Sarpi (69)";"2006";317
"Sarpi (69)";"2007";304
"Sarpi (69)";"2008";344
"Sarpi (69)";"2009";310
"Sarpi (69)";"2010";329
"Sarpi (69)";"2011";299
"Sarpi (69)";"2012";303
"Sarpi (69)";"2013";319
"Sarpi (69)";"2014";266
"Sarpi (69)";"2015";276
"Sarpi (69)";"2016";316
"Sarpi (69)";"2017";286
"Sarpi (69)";"2018";253
"Sarpi (69)";"2019";240
"Sarpi (69)";"2020";257
"Sarpi (69)";"2021";241
"Sarpi (69)";"2022";222
"Sarpi (69)";"2023";215
"Ghisolfa (70)";"2003";163
"Ghisolfa (70)";"2004";167
"Ghisolfa (70)";"2005";156
"Ghisolfa (70)";"2006";187
"Ghisolfa (70)";"2007";187
"Ghisolfa (70)";"2008";175
"Ghisolfa (70)";"2009";156
"Ghisolfa (70)";"2010";184
"Ghisolfa (70)";"2011";169
"Ghisolfa (70)";"2012";180
"Ghisolfa (70)";"2013";150
"Ghisolfa (70)";"2014";145
"Ghisolfa (70)";"2015";173
"Ghisolfa (70)";"2016";167
"Ghisolfa (70)";"2017";159
"Ghisolfa (70)";"2018";139
"Ghisolfa (70)";"2019";153
"Ghisolfa (70)";"2020";144
"Ghisolfa (70)";"2021";151
"Ghisolfa (70)";"2022";146
"Ghisolfa (70)";"2023";140
"Villapizzone - Cagnola - Boldinasco (71)";"2003";358
"Villapizzone - Cagnola - Boldinasco (71)";"2004";340
"Villapizzone - Cagnola - Boldinasco (71)";"2005";355
"Villapizzone - Cagnola - Boldinasco (71)";"2006";407
"Villapizzone - Cagnola - Boldinasco (71)";"2007";355
"Villapizzone - Cagnola - Boldinasco (71)";"2008";363
"Villapizzone - Cagnola - Boldinasco (71)";"2009";412
"Villapizzone - Cagnola - Boldinasco (71)";"2010";395
"Villapizzone - Cagnola - Boldinasco (71)";"2011";407
"Villapizzone - Cagnola - Boldinasco (71)";"2012";412
"Villapizzone - Cagnola - Boldinasco (71)";"2013";373
"Villapizzone - Cagnola - Boldinasco (71)";"2014";403
"Villapizzone - Cagnola - Boldinasco (71)";"2015";376
"Villapizzone - Cagnola - Boldinasco (71)";"2016";385
"Villapizzone - Cagnola - Boldinasco (71)";"2017";356
"Villapizzone - Cagnola - Boldinasco (71)";"2018";343
"Villapizzone - Cagnola - Boldinasco (71)";"2019";329
"Villapizzone - Cagnola - Boldinasco (71)";"2020";314
"Villapizzone - Cagnola - Boldinasco (71)";"2021";320
"Villapizzone - Cagnola - Boldinasco (71)";"2022";301
"Villapizzone - Cagnola - Boldinasco (71)";"2023";285
"Maggiore - Musocco - Certosa (72)";"2003";50
"Maggiore - Musocco - Certosa (72)";"2004";52
"Maggiore - Musocco - Certosa (72)";"2005";49
"Maggiore - Musocco - Certosa (72)";"2006";67
"Maggiore - Musocco - Certosa (72)";"2007";63
"Maggiore - Musocco - Certosa (72)";"2008";59
"Maggiore - Musocco - Certosa (72)";"2009";69
"Maggiore - Musocco - Certosa (72)";"2010";56
"Maggiore - Musocco - Certosa (72)";"2011";59
"Maggiore - Musocco - Certosa (72)";"2012";53
"Maggiore - Musocco - Certosa (72)";"2013";49
"Maggiore - Musocco - Certosa (72)";"2014";51
"Maggiore - Musocco - Certosa (72)";"2015";39
"Maggiore - Musocco - Certosa (72)";"2016";41
"Maggiore - Musocco - Certosa (72)";"2017";57
"Maggiore - Musocco - Certosa (72)";"2018";58
"Maggiore - Musocco - Certosa (72)";"2019";73
"Maggiore - Musocco - Certosa (72)";"2020";74
"Maggiore - Musocco - Certosa (72)";"2021";112
"Maggiore - Musocco - Certosa (72)";"2022";118
"Maggiore - Musocco - Certosa (72)";"2023";154
"Cascina Merlata (73)";"2004";2
"Cascina Merlata (73)";"2005";1
"Cascina Merlata (73)";"2006";1
"Cascina Merlata (73)";"2008";1
"Cascina Merlata (73)";"2009";2
"Cascina Merlata (73)";"2010";3
"Cascina Merlata (73)";"2011";1
"Cascina Merlata (73)";"2012";1
"Cascina Merlata (73)";"2013";1
"Cascina Merlata (73)";"2019";1
"Cascina Merlata (73)";"2021";2
"Cascina Merlata (73)";"2022";1
"Cascina Merlata (73)";"2023";1
"Roserio (74)";"2003";2
"Roserio (74)";"2004";2
"Roserio (74)";"2005";11
"Roserio (74)";"2006";7
"Roserio (74)";"2007";2
"Roserio (74)";"2008";3
"Roserio (74)";"2009";6
"Roserio (74)";"2010";4
"Roserio (74)";"2011";4
"Roserio (74)";"2012";3
"Roserio (74)";"2013";4
"Roserio (74)";"2014";2
"Roserio (74)";"2015";1
"Roserio (74)";"2016";4
"Roserio (74)";"2017";2
"Roserio (74)";"2019";1
"Roserio (74)";"2020";1
"Roserio (74)";"2022";1
"Roserio (74)";"2023";1
"Stephenson (75)";"2004";1
"Stephenson (75)";"2008";1
"Stephenson (75)";"2013";2
"Stephenson (75)";"2017";2
"Stephenson (75)";"2018";3
"Stephenson (75)";"2021";2
"Stephenson (75)";"2022";1
"Stephenson (75)";"2023";1
"Quarto Oggiaro - Vialba - Musocco (76)";"2003";244
"Quarto Oggiaro - Vialba - Musocco (76)";"2004";277
"Quarto Oggiaro - Vialba - Musocco (76)";"2005";240
"Quarto Oggiaro - Vialba - Musocco (76)";"2006";264
"Quarto Oggiaro - Vialba - Musocco (76)";"2007";286
"Quarto Oggiaro - Vialba - Musocco (76)";"2008";294
"Quarto Oggiaro - Vialba - Musocco (76)";"2009";262
"Quarto Oggiaro - Vialba - Musocco (76)";"2010";269
"Quarto Oggiaro - Vialba - Musocco (76)";"2011";244
"Quarto Oggiaro - Vialba - Musocco (76)";"2012";260
"Quarto Oggiaro - Vialba - Musocco (76)";"2013";224
"Quarto Oggiaro - Vialba - Musocco (76)";"2014";254
"Quarto Oggiaro - Vialba - Musocco (76)";"2015";229
"Quarto Oggiaro - Vialba - Musocco (76)";"2016";227
"Quarto Oggiaro - Vialba - Musocco (76)";"2017";201
"Quarto Oggiaro - Vialba - Musocco (76)";"2018";194
"Quarto Oggiaro - Vialba - Musocco (76)";"2019";174
"Quarto Oggiaro - Vialba - Musocco (76)";"2020";198
"Quarto Oggiaro - Vialba - Musocco (76)";"2021";196
"Quarto Oggiaro - Vialba - Musocco (76)";"2022";187
"Quarto Oggiaro - Vialba - Musocco (76)";"2023";207
"Bovisa (77)";"2003";117
"Bovisa (77)";"2004";116
"Bovisa (77)";"2005";115
"Bovisa (77)";"2006";95
"Bovisa (77)";"2007";150
"Bovisa (77)";"2008";122
"Bovisa (77)";"2009";127
"Bovisa (77)";"2010";146
"Bovisa (77)";"2011";126
"Bovisa (77)";"2012";141
"Bovisa (77)";"2013";140
"Bovisa (77)";"2014";136
"Bovisa (77)";"2015";118
"Bovisa (77)";"2016";136
"Bovisa (77)";"2017";131
"Bovisa (77)";"2018";131
"Bovisa (77)";"2019";118
"Bovisa (77)";"2020";102
"Bovisa (77)";"2021";111
"Bovisa (77)";"2022";111
"Bovisa (77)";"2023";92
"Farini (78)";"2003";30
"Farini (78)";"2004";34
"Farini (78)";"2005";36
"Farini (78)";"2006";48
"Farini (78)";"2007";46
"Farini (78)";"2008";46
"Farini (78)";"2009";63
"Farini (78)";"2010";46
"Farini (78)";"2011";47
"Farini (78)";"2012";39
"Farini (78)";"2013";48
"Farini (78)";"2014";36
"Farini (78)";"2015";50
"Farini (78)";"2016";48
"Farini (78)";"2017";39
"Farini (78)";"2018";40
"Farini (78)";"2019";35
"Farini (78)";"2020";25
"Farini (78)";"2021";28
"Farini (78)";"2022";41
"Farini (78)";"2023";20
"Dergano (79)";"2003";214
"Dergano (79)";"2004";217
"Dergano (79)";"2005";172
"Dergano (79)";"2006";218
"Dergano (79)";"2007";214
"Dergano (79)";"2008";248
"Dergano (79)";"2009";258
"Dergano (79)";"2010";216
"Dergano (79)";"2011";214
"Dergano (79)";"2012";211
"Dergano (79)";"2013";218
"Dergano (79)";"2014";229
"Dergano (79)";"2015";214
"Dergano (79)";"2016";226
"Dergano (79)";"2017";219
"Dergano (79)";"2018";219
"Dergano (79)";"2019";202
"Dergano (79)";"2020";194
"Dergano (79)";"2021";159
"Dergano (79)";"2022";167
"Dergano (79)";"2023";168
"Affori (80)";"2003";187
"Affori (80)";"2004";223
"Affori (80)";"2005";233
"Affori (80)";"2006";232
"Affori (80)";"2007";240
"Affori (80)";"2008";251
"Affori (80)";"2009";242
"Affori (80)";"2010";259
"Affori (80)";"2011";229
"Affori (80)";"2012";261
"Affori (80)";"2013";230
"Affori (80)";"2014";265
"Affori (80)";"2015";249
"Affori (80)";"2016";250
"Affori (80)";"2017";259
"Affori (80)";"2018";209
"Affori (80)";"2019";195
"Affori (80)";"2020";195
"Affori (80)";"2021";171
"Affori (80)";"2022";188
"Affori (80)";"2023";202
"Bovisasca (81)";"2003";51
"Bovisasca (81)";"2004";49
"Bovisasca (81)";"2005";51
"Bovisasca (81)";"2006";57
"Bovisasca (81)";"2007";51
"Bovisasca (81)";"2008";53
"Bovisasca (81)";"2009";49
"Bovisasca (81)";"2010";55
"Bovisasca (81)";"2011";51
"Bovisasca (81)";"2012";42
"Bovisasca (81)";"2013";45
"Bovisasca (81)";"2014";53
"Bovisasca (81)";"2015";48
"Bovisasca (81)";"2016";49
"Bovisasca (81)";"2017";42
"Bovisasca (81)";"2018";57
"Bovisasca (81)";"2019";41
"Bovisasca (81)";"2020";47
"Bovisasca (81)";"2021";46
"Bovisasca (81)";"2022";54
"Bovisasca (81)";"2023";59
"Comasina (82)";"2003";73
"Comasina (82)";"2004";91
"Comasina (82)";"2005";91
"Comasina (82)";"2006";102
"Comasina (82)";"2007";95
"Comasina (82)";"2008";97
"Comasina (82)";"2009";106
"Comasina (82)";"2010";94
"Comasina (82)";"2011";91
"Comasina (82)";"2012";85
"Comasina (82)";"2013";107
"Comasina (82)";"2014";89
"Comasina (82)";"2015";87
"Comasina (82)";"2016";99
"Comasina (82)";"2017";80
"Comasina (82)";"2018";89
"Comasina (82)";"2019";76
"Comasina (82)";"2020";96
"Comasina (82)";"2021";68
"Comasina (82)";"2022";96
"Comasina (82)";"2023";66
"Bruzzano (83)";"2003";117
"Bruzzano (83)";"2004";97
"Bruzzano (83)";"2005";93
"Bruzzano (83)";"2006";89
"Bruzzano (83)";"2007";101
"Bruzzano (83)";"2008";97
"Bruzzano (83)";"2009";121
"Bruzzano (83)";"2010";127
"Bruzzano (83)";"2011";103
"Bruzzano (83)";"2012";105
"Bruzzano (83)";"2013";114
"Bruzzano (83)";"2014";139
"Bruzzano (83)";"2015";111
"Bruzzano (83)";"2016";117
"Bruzzano (83)";"2017";132
"Bruzzano (83)";"2018";97
"Bruzzano (83)";"2019";101
"Bruzzano (83)";"2020";81
"Bruzzano (83)";"2021";90
"Bruzzano (83)";"2022";83
"Bruzzano (83)";"2023";86
"Parco Nord (84)";"2003";4
"Parco Nord (84)";"2004";1
"Parco Nord (84)";"2005";3
"Parco Nord (84)";"2008";1
"Parco Nord (84)";"2010";1
"Parco Nord (84)";"2011";2
"Parco Nord (84)";"2012";1
"Parco Nord (84)";"2014";1
"Parco Nord (84)";"2015";1
"Parco Nord (84)";"2016";1
"Parco Nord (84)";"2018";1
"Parco Nord (84)";"2021";1
"Parco Nord (84)";"2022";1
"Parco delle Abbazie (85)";"2003";5
"Parco delle Abbazie (85)";"2004";2
"Parco delle Abbazie (85)";"2005";5
"Parco delle Abbazie (85)";"2006";7
"Parco delle Abbazie (85)";"2007";7
"Parco delle Abbazie (85)";"2008";7
"Parco delle Abbazie (85)";"2009";3
"Parco delle Abbazie (85)";"2010";12
"Parco delle Abbazie (85)";"2011";10
"Parco delle Abbazie (85)";"2012";9
"Parco delle Abbazie (85)";"2013";12
"Parco delle Abbazie (85)";"2014";11
"Parco delle Abbazie (85)";"2015";11
"Parco delle Abbazie (85)";"2016";11
"Parco delle Abbazie (85)";"2017";12
"Parco delle Abbazie (85)";"2018";9
"Parco delle Abbazie (85)";"2019";4
"Parco delle Abbazie (85)";"2020";6
"Parco delle Abbazie (85)";"2021";8
"Parco delle Abbazie (85)";"2022";2
"Parco delle Abbazie (85)";"2023";5
"Parco dei Navigli (86)";"2003";1
"Parco dei Navigli (86)";"2004";1
"Parco dei Navigli (86)";"2005";6
"Parco dei Navigli (86)";"2006";3
"Parco dei Navigli (86)";"2007";8
"Parco dei Navigli (86)";"2008";3
"Parco dei Navigli (86)";"2009";6
"Parco dei Navigli (86)";"2010";1
"Parco dei Navigli (86)";"2011";2
"Parco dei Navigli (86)";"2012";2
"Parco dei Navigli (86)";"2013";5
"Parco dei Navigli (86)";"2014";4
"Parco dei Navigli (86)";"2015";1
"Parco dei Navigli (86)";"2016";3
"Parco dei Navigli (86)";"2017";3
"Parco dei Navigli (86)";"2018";1
"Parco dei Navigli (86)";"2019";8
"Parco dei Navigli (86)";"2020";1
"Parco dei Navigli (86)";"2021";8
"Parco dei Navigli (86)";"2022";1
"Parco dei Navigli (86)";"2023";5
"Assiano (87)";"2003";11
"Assiano (87)";"2004";1
"Assiano (87)";"2005";3
"Assiano (87)";"2006";5
"Assiano (87)";"2007";6
"Assiano (87)";"2008";6
"Assiano (87)";"2009";6
"Assiano (87)";"2010";4
"Assiano (87)";"2011";4
"Assiano (87)";"2012";2
"Assiano (87)";"2013";5
"Assiano (87)";"2014";7
"Assiano (87)";"2015";4
"Assiano (87)";"2016";6
"Assiano (87)";"2017";3
"Assiano (87)";"2018";3
"Assiano (87)";"2019";2
"Assiano (87)";"2020";1
"Assiano (87)";"2021";2
"Assiano (87)";"2023";2
"Parco Bosco in citta' (88)";"2003";3
"Parco Bosco in citta' (88)";"2004";7
"Parco Bosco in citta' (88)";"2005";14
"Parco Bosco in citta' (88)";"2006";7
"Parco Bosco in citta' (88)";"2007";19
"Parco Bosco in citta' (88)";"2008";7
"Parco Bosco in citta' (88)";"2009";12
"Parco Bosco in citta' (88)";"2010";15
"Parco Bosco in citta' (88)";"2011";11
"Parco Bosco in citta' (88)";"2012";14
"Parco Bosco in citta' (88)";"2013";5
"Parco Bosco in citta' (88)";"2014";4
"Parco Bosco in citta' (88)";"2015";10
"Parco Bosco in citta' (88)";"2016";6
"Parco Bosco in citta' (88)";"2017";3
"Parco Bosco in citta' (88)";"2018";1
"Parco Bosco in citta' (88)";"2019";10
"Parco Bosco in citta' (88)";"2020";4
"Parco Bosco in citta' (88)";"2021";3
"Parco Bosco in citta' (88)";"2022";6
"Parco Bosco in citta' (88)";"2023";6
