"NIL (Nuclei di Identità Locale)";"Titolo di godimento dell'abitazione";"Abitazioni"
"Duomo (1)";"Proprietà";4024,23818004131
"Duomo (1)";"Affitto";2147,66294711828
"Duomo (1)";"Altro titolo";1242,09888976812
"Brera (2)";"Proprietà";4504,99442839623
"Brera (2)";"Affitto";2493,81419122219
"Brera (2)";"Altro titolo";1258,19142723084
"Giardini P.ta Venezia (3)";"Affitto";14,9914269447327
"Giardini P.ta Venezia (3)";"Altro titolo";7,92658996582031
"Guastalla (4)";"Proprietà";4083,65345144272
"Guastalla (4)";"Affitto";1517,45604985952
"Guastalla (4)";"Altro titolo";1191,30818039179
"Porta Vigentina - Porta Lodovica (5)";"Proprietà";3973,10447233915
"Porta Vigentina - Porta Lodovica (5)";"Affitto";1311,50937283039
"Porta Vigentina - Porta Lodovica (5)";"Altro titolo";678,691577196121
"Porta Ticinese - Conca del Naviglio (6)";"Proprietà";6423,51818138361
"Porta Ticinese - Conca del Naviglio (6)";"Affitto";2711,29573595524
"Porta Ticinese - Conca del Naviglio (6)";"Altro titolo";853,186080038548
"Magenta - S.Vittore (7)";"Proprietà";4533,17885279655
"Magenta - S.Vittore (7)";"Affitto";2114,79192829132
"Magenta - S.Vittore (7)";"Altro titolo";1069,02924126387
"Porta Garibaldi - Porta Nuova (9)";"Proprietà";1704,10001683235
"Porta Garibaldi - Porta Nuova (9)";"Affitto";659,434938728809
"Porta Garibaldi - Porta Nuova (9)";"Altro titolo";197,594071805477
"Stazione Centrale - Ponte Seveso (10)";"Proprietà";4824,25148022175
"Stazione Centrale - Ponte Seveso (10)";"Affitto";2121,86741501093
"Stazione Centrale - Ponte Seveso (10)";"Altro titolo";764,88107329607
"Isola (11)";"Proprietà";6523,46604669094
"Isola (11)";"Affitto";3038,99308127165
"Isola (11)";"Altro titolo";787,540867328644
"Maciachini - Maggiolina (12)";"Proprietà";8308,51885169744
"Maciachini - Maggiolina (12)";"Affitto";2741,0387147665
"Maciachini - Maggiolina (12)";"Altro titolo";830,442420482636
"Greco - Segnano (13)";"Proprietà";4911,42797166109
"Greco - Segnano (13)";"Affitto";1256,90815198421
"Greco - Segnano (13)";"Altro titolo";454,258621156216
"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"Proprietà";10105,4787967503
"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"Affitto";5856,32553493977
"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"Altro titolo";693,195639371872
"Bicocca (15)";"Proprietà";2104,52840715647
"Bicocca (15)";"Affitto";693,253785192966
"Bicocca (15)";"Altro titolo";101,841068744659
"Gorla - Precotto (16)";"Proprietà";8647,28680080175
"Gorla - Precotto (16)";"Affitto";2758,59544062614
"Gorla - Precotto (16)";"Altro titolo";715,117736756802
"Adriano (17)";"Proprietà";4417,25616943836
"Adriano (17)";"Affitto";851,362349152565
"Adriano (17)";"Altro titolo";271,01703619957
"Cimiano - Rottole - Q.re Feltre (18)";"Proprietà";6585,66140007973
"Cimiano - Rottole - Q.re Feltre (18)";"Affitto";2159,38410747051
"Cimiano - Rottole - Q.re Feltre (18)";"Altro titolo";500,954480230808
"Padova - Turro - Crescenzago (19)";"Proprietà";10341,5481515527
"Padova - Turro - Crescenzago (19)";"Affitto";4440,94903856516
"Padova - Turro - Crescenzago (19)";"Altro titolo";1039,50290071964
"Loreto - Casoretto - NoLo (20)";"Proprietà";11921,9185397625
"Loreto - Casoretto - NoLo (20)";"Affitto";5964,73410540819
"Loreto - Casoretto - NoLo (20)";"Altro titolo";1410,34735172987
"Buenos Aires - Porta Venezia - Porta Monforte (21)";"Proprietà";19277,3168696165
"Buenos Aires - Porta Venezia - Porta Monforte (21)";"Affitto";6854,04929488897
"Buenos Aires - Porta Venezia - Porta Monforte (21)";"Altro titolo";2633,63390874863
"Citta' studi (22)";"Proprietà";11808,4757941365
"Citta' studi (22)";"Affitto";4721,32612484694
"Citta' studi (22)";"Altro titolo";1353,19803726673
"Lambrate - Ortica (23)";"Proprietà";3193,57723301649
"Lambrate - Ortica (23)";"Affitto";1016,03231906891
"Lambrate - Ortica (23)";"Altro titolo";220,212012887001
"Parco Forlanini - Cavriano (24)";"Proprietà";223,800540626049
"Parco Forlanini - Cavriano (24)";"Affitto";118,381518661976
"Parco Forlanini - Cavriano (24)";"Altro titolo";33,692036151886
"Corsica (25)";"Proprietà";6563,52698528767
"Corsica (25)";"Affitto";1882,11313033104
"Corsica (25)";"Altro titolo";714,359831929207
"XXII Marzo (26)";"Proprietà";9035,42886459827
"XXII Marzo (26)";"Affitto";4508,64619892836
"XXII Marzo (26)";"Altro titolo";1161,92495787144
"Pta Romana (27)";"Proprietà";5479,42020183802
"Pta Romana (27)";"Affitto";2040,01648628712
"Pta Romana (27)";"Altro titolo";639,563266217709
"Umbria - Molise - Calvairate (28)";"Proprietà";6244,86079490185
"Umbria - Molise - Calvairate (28)";"Affitto";3942,17769491673
"Umbria - Molise - Calvairate (28)";"Altro titolo";650,961481690407
"Ortomercato (29)";"Proprietà";1077,11493259668
"Ortomercato (29)";"Affitto";638,447703063488
"Ortomercato (29)";"Altro titolo";107,719194114208
"Taliedo - Morsenchio - Q.re Forlanini (30)";"Proprietà";6459,65074837208
"Taliedo - Morsenchio - Q.re Forlanini (30)";"Affitto";1762,76481926441
"Taliedo - Morsenchio - Q.re Forlanini (30)";"Altro titolo";426,58444917202
"Monlue' - Ponte Lambro (31)";"Proprietà";722,833572089672
"Monlue' - Ponte Lambro (31)";"Affitto";868,920195221901
"Monlue' - Ponte Lambro (31)";"Altro titolo";145,492025911808
"Triulzo Superiore (32)";"Proprietà";388,178290724754
"Triulzo Superiore (32)";"Affitto";275,931696951389
"Triulzo Superiore (32)";"Altro titolo";15,8584417104721
"Rogoredo - Santa Giulia (33)";"Proprietà";2780,6052210927
"Rogoredo - Santa Giulia (33)";"Affitto";1021,64025485516
"Rogoredo - Santa Giulia (33)";"Altro titolo";182,007410883904
"Chiaravalle (34)";"Proprietà";263,935352087021
"Chiaravalle (34)";"Affitto";177,061240494251
"Chiaravalle (34)";"Altro titolo";21,9353481531143
"Lodi - Corvetto (35)";"Proprietà";9547,00096678734
"Lodi - Corvetto (35)";"Affitto";5413,36172819138
"Lodi - Corvetto (35)";"Altro titolo";979,637273669243
"Scalo Romana (36)";"Proprietà";2603,81106364727
"Scalo Romana (36)";"Affitto";1676,25196558237
"Scalo Romana (36)";"Altro titolo";242,493530154228
"Morivione (37)";"Proprietà";2317,6219252944
"Morivione (37)";"Affitto";730,505846321583
"Morivione (37)";"Altro titolo";161,061666667461
"Vigentino - Q.re Fatima (38)";"Proprietà";4646,8144415617
"Vigentino - Q.re Fatima (38)";"Affitto";921,992011129856
"Vigentino - Q.re Fatima (38)";"Altro titolo";377,209394037724
"Quintosole (39)";"Proprietà";75,7911799550056
"Quintosole (39)";"Affitto";34,8302927613258
"Quintosole (39)";"Altro titolo";16,5864555835724
"Ronchetto delle Rane (40)";"Proprietà";197,030404567719
"Ronchetto delle Rane (40)";"Affitto";65,9310889840126
"Ronchetto delle Rane (40)";"Altro titolo";15,9396007061005
"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";"Proprietà";3137,15283584595
"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";"Affitto";4407,80336552858
"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";"Altro titolo";175,043761193752
"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";"Proprietà";8565,68055105209
"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";"Affitto";4005,76004326344
"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";"Altro titolo";617,559349536896
"Tibaldi (43)";"Proprietà";3898,26379907131
"Tibaldi (43)";"Affitto";1468,0950807333
"Tibaldi (43)";"Altro titolo";348,544534444809
"Porta Ticinese - Conchetta (44)";"Proprietà";5252,26619434357
"Porta Ticinese - Conchetta (44)";"Affitto";2535,97119224072
"Porta Ticinese - Conchetta (44)";"Altro titolo";718,76259303093
"Moncucco - San Cristoforo (45)";"Proprietà";3912,63922655582
"Moncucco - San Cristoforo (45)";"Affitto";1791,44169408083
"Moncucco - San Cristoforo (45)";"Altro titolo";372,849874079227
"Barona (46)";"Proprietà";3557,3342410326
"Barona (46)";"Affitto";3586,99592685699
"Barona (46)";"Altro titolo";210,66981613636
"Cantalupa (47)";"Proprietà";138,9511962533
"Cantalupa (47)";"Affitto";31,8826739788055
"Cantalupa (47)";"Altro titolo";10,9367655515671
"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";"Proprietà";4394,54612123966
"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";"Affitto";1897,87694525719
"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";"Altro titolo";334,92028015852
"Giambellino (49)";"Proprietà";8145,29324728251
"Giambellino (49)";"Affitto";5664,98867340386
"Giambellino (49)";"Altro titolo";757,718112230301
"Porta Genova (50)";"Proprietà";5066,62548822165
"Porta Genova (50)";"Affitto";1521,61735337973
"Porta Genova (50)";"Altro titolo";604,919310688972
"Porta Magenta (51)";"Proprietà";8148,64260333776
"Porta Magenta (51)";"Affitto";2982,00794637203
"Porta Magenta (51)";"Altro titolo";1195,34946668148
"Bande Nere (52)";"Proprietà";13374,637744844
"Bande Nere (52)";"Affitto";5541,71062445641
"Bande Nere (52)";"Altro titolo";1307,65161764622
"Lorenteggio (53)";"Proprietà";3788,33230727911
"Lorenteggio (53)";"Affitto";1707,01591557264
"Lorenteggio (53)";"Altro titolo";313,931051790714
"Muggiano (54)";"Proprietà";923,160010457039
"Muggiano (54)";"Affitto";170,66108584404
"Muggiano (54)";"Altro titolo";32,167819917202
"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"Proprietà";8150,60739701986
"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"Affitto";3993,80958902836
"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"Altro titolo";641,583006739616
"Forze Armate (56)";"Proprietà";6048,13087540865
"Forze Armate (56)";"Affitto";3718,45239466429
"Forze Armate (56)";"Altro titolo";421,416734278202
"San Siro (57)";"Proprietà";5540,94398760796
"San Siro (57)";"Affitto";5714,94060689211
"San Siro (57)";"Altro titolo";759,115431904793
"De Angeli - Monte Rosa (58)";"Proprietà";6424,33176255226
"De Angeli - Monte Rosa (58)";"Affitto";2060,98545968533
"De Angeli - Monte Rosa (58)";"Altro titolo";969,682786762714
"Tre Torri (59)";"Proprietà";410,28713208437
"Tre Torri (59)";"Affitto";120,340997457504
"Tre Torri (59)";"Altro titolo";78,7875580191612
"Stadio - Ippodromi (60)";"Proprietà";3716,47962224483
"Stadio - Ippodromi (60)";"Affitto";982,019166171551
"Stadio - Ippodromi (60)";"Altro titolo";367,834079802036
"Quarto Cagnino (61)";"Proprietà";2948,41559565067
"Quarto Cagnino (61)";"Affitto";990,947831571102
"Quarto Cagnino (61)";"Altro titolo";159,149498701096
"Quinto Romano (62)";"Proprietà";1081,77190721035
"Quinto Romano (62)";"Affitto";858,892060935497
"Quinto Romano (62)";"Altro titolo";63,2329978942871
"Figino (63)";"Proprietà";397,62847083807
"Figino (63)";"Affitto";286,345756828785
"Figino (63)";"Altro titolo";24,9178321957588
"Trenno (64)";"Proprietà";1090,09670257568
"Trenno (64)";"Affitto";576,607650876045
"Trenno (64)";"Altro titolo";69,4176536202431
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"Proprietà";10641,8635770679
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"Affitto";3428,22599828243
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"Altro titolo";583,910487890244
"QT 8 (66)";"Proprietà";1458,70301264524
"QT 8 (66)";"Affitto";245,010055363178
"QT 8 (66)";"Altro titolo";134,972744584084
"Portello (67)";"Proprietà";2579,41482615471
"Portello (67)";"Affitto";686,053297877312
"Portello (67)";"Altro titolo";275,93108612299
"Pagano (68)";"Proprietà";4922,32113474607
"Pagano (68)";"Affitto";1520,99072259665
"Pagano (68)";"Altro titolo";882,688161313534
"Sarpi (69)";"Proprietà";8580,24579548836
"Sarpi (69)";"Affitto";4045,34190583229
"Sarpi (69)";"Altro titolo";1112,41223686934
"Ghisolfa (70)";"Proprietà";5789,98730927706
"Ghisolfa (70)";"Affitto";1694,0760935545
"Ghisolfa (70)";"Altro titolo";534,936634719372
"Villapizzone - Cagnola - Boldinasco (71)";"Proprietà";11071,7246523499
"Villapizzone - Cagnola - Boldinasco (71)";"Affitto";5080,31018552184
"Villapizzone - Cagnola - Boldinasco (71)";"Altro titolo";1052,96507871151
"Maggiore - Musocco - Certosa (72)";"Proprietà";1511,33422613144
"Maggiore - Musocco - Certosa (72)";"Affitto";585,180203199387
"Maggiore - Musocco - Certosa (72)";"Altro titolo";115,440226554871
"Cascina Merlata (73)";"Affitto";15,8705736398697
"Cascina Merlata (73)";"Altro titolo";5,93857133388519
"Roserio (74)";"Proprietà";82,1899905800819
"Roserio (74)";"Altro titolo";2,86961269378662
"Stephenson (75)";"Proprietà";6,02306652069092
"Stephenson (75)";"Altro titolo";9,17596530914307
"Quarto Oggiaro - Vialba - Musocco (76)";"Proprietà";6402,43492496014
"Quarto Oggiaro - Vialba - Musocco (76)";"Affitto";6175,00320148468
"Quarto Oggiaro - Vialba - Musocco (76)";"Altro titolo";486,561869859695
"Bovisa (77)";"Proprietà";3658,14846733212
"Bovisa (77)";"Affitto";1623,62233561277
"Bovisa (77)";"Altro titolo";401,898719668388
"Farini (78)";"Proprietà";1103,82918787003
"Farini (78)";"Affitto";430,395073831081
"Farini (78)";"Altro titolo";96,2058806419373
"Dergano (79)";"Proprietà";6113,40183669329
"Dergano (79)";"Affitto";2559,82283097506
"Dergano (79)";"Altro titolo";606,775333225727
"Affori (80)";"Proprietà";6764,34900546074
"Affori (80)";"Affitto";2668,5033057332
"Affori (80)";"Altro titolo";555,147712230682
"Bovisasca (81)";"Proprietà";1898,68815732002
"Bovisasca (81)";"Affitto";852,765056610107
"Bovisasca (81)";"Altro titolo";127,609205365181
"Comasina (82)";"Proprietà";2653,71864819527
"Comasina (82)";"Affitto";1081,54984492064
"Comasina (82)";"Altro titolo";183,002131044865
"Bruzzano (83)";"Proprietà";3177,11202764511
"Bruzzano (83)";"Affitto";1597,21125495434
"Bruzzano (83)";"Altro titolo";279,432101488113
"Parco Nord (84)";"Proprietà";22,8184279203415
"Parco Nord (84)";"Affitto";8,54774713516235
"Parco Nord (84)";"Altro titolo";5,80154085159302
"Parco delle Abbazie (85)";"Proprietà";68,175760447979
"Parco delle Abbazie (85)";"Affitto";22,4987553358078
"Parco delle Abbazie (85)";"Altro titolo";17,2929779887199
"Parco dei Navigli (86)";"Proprietà";62,694560945034
"Parco dei Navigli (86)";"Affitto";42,0370733737946
"Parco dei Navigli (86)";"Altro titolo";15,9668492674828
"Assiano (87)";"Proprietà";61,7663834095001
"Assiano (87)";"Affitto";11,9918843507767
"Assiano (87)";"Altro titolo";8,96226674318314
"Parco Bosco in citta' (88)";"Proprietà";125,54120105505
"Parco Bosco in citta' (88)";"Affitto";39,1944599747658
"Parco Bosco in citta' (88)";"Altro titolo";17,992339849472
