"NIL";"Anno";"Famiglie"
"Trenno (64)";"2005";1913
"Trenno (64)";"2006";1940
"Trenno (64)";"2007";1945
"Trenno (64)";"2008";1937
"Trenno (64)";"2009";2026
"Trenno (64)";"2010";2090
"Trenno (64)";"2011";2029
"Trenno (64)";"2012";2064
"Trenno (64)";"2013";2038
"Trenno (64)";"2014";2056
"Trenno (64)";"2015";2052
"Trenno (64)";"2016";2071
"Trenno (64)";"2017";2076
"Trenno (64)";"2018";2093
"Trenno (64)";"2019";2135
"Trenno (64)";"2020";2091
"Trenno (64)";"2021";2047
"Trenno (64)";"2022";2056
"Trenno (64)";"2023";2085
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"1999";15802
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"2000";15834
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"2001";15862
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"2002";15756
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"2003";15446
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"2004";15657
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"2005";15717
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"2006";15709
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"2007";15681
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"2008";15574
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"2009";15607
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"2010";15877
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"2011";15920
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"2012";16019
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"2013";15920
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"2014";15931
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"2015";15851
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"2016";15881
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"2017";16170
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"2018";16340
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"2019";16579
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"2020";16586
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"2021";16677
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"2022";16850
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"2023";17278
"QT 8 (66)";"1999";2078
"QT 8 (66)";"2000";2063
"QT 8 (66)";"2001";2069
"QT 8 (66)";"2002";2056
"QT 8 (66)";"2003";1959
"QT 8 (66)";"2004";1993
"QT 8 (66)";"2005";1992
"QT 8 (66)";"2006";1976
"QT 8 (66)";"2007";1985
"QT 8 (66)";"2008";2003
"QT 8 (66)";"2009";2014
"QT 8 (66)";"2010";2051
"QT 8 (66)";"2011";2078
"QT 8 (66)";"2012";2075
"QT 8 (66)";"2013";2038
"QT 8 (66)";"2014";2045
"QT 8 (66)";"2015";2063
"QT 8 (66)";"2016";2054
"QT 8 (66)";"2017";2065
"QT 8 (66)";"2018";2093
"QT 8 (66)";"2019";2108
"QT 8 (66)";"2020";2080
"QT 8 (66)";"2021";2046
"QT 8 (66)";"2022";2052
"QT 8 (66)";"2023";2069
"Portello (67)";"1999";4159
"Portello (67)";"2000";4165
"Portello (67)";"2001";4192
"Portello (67)";"2002";4176
"Portello (67)";"2003";3957
"Portello (67)";"2004";4066
"Portello (67)";"2005";4066
"Portello (67)";"2006";4034
"Portello (67)";"2007";4019
"Portello (67)";"2008";3996
"Portello (67)";"2009";4013
"Portello (67)";"2010";4114
"Portello (67)";"2011";4116
"Portello (67)";"2012";4165
"Portello (67)";"2013";4155
"Portello (67)";"2014";4152
"Portello (67)";"2015";4195
"Portello (67)";"2016";4283
"Portello (67)";"2017";4409
"Portello (67)";"2018";4532
"Portello (67)";"2019";4697
"Portello (67)";"2020";4740
"Portello (67)";"2021";4692
"Portello (67)";"2022";4788
"Portello (67)";"2023";4810
"Pagano (68)";"1999";8814
"Pagano (68)";"2000";8872
"Pagano (68)";"2001";8915
"Pagano (68)";"2002";8751
"Pagano (68)";"2003";8172
"Pagano (68)";"2004";8361
"Pagano (68)";"2005";8399
"Pagano (68)";"2006";8319
"Pagano (68)";"2007";8240
"Pagano (68)";"2008";8224
"Pagano (68)";"2009";8360
"Pagano (68)";"2010";8477
"Pagano (68)";"2011";8582
"Pagano (68)";"2012";8651
"Pagano (68)";"2013";8507
"Pagano (68)";"2014";8393
"Pagano (68)";"2015";8412
"Pagano (68)";"2016";8552
"Pagano (68)";"2017";8672
"Pagano (68)";"2018";8863
"Pagano (68)";"2019";9027
"Pagano (68)";"2020";8967
"Pagano (68)";"2021";8874
"Pagano (68)";"2022";8946
"Pagano (68)";"2023";9116
"Sarpi (69)";"1999";16173
"Sarpi (69)";"2000";16328
"Sarpi (69)";"2001";16577
"Sarpi (69)";"2002";16345
"Sarpi (69)";"2003";15123
"Sarpi (69)";"2004";15651
"Sarpi (69)";"2005";15837
"Sarpi (69)";"2006";15631
"Sarpi (69)";"2007";15423
"Sarpi (69)";"2008";15340
"Sarpi (69)";"2009";15614
"Sarpi (69)";"2010";15944
"Sarpi (69)";"2011";16304
"Sarpi (69)";"2012";16748
"Sarpi (69)";"2013";16646
"Sarpi (69)";"2014";16359
"Sarpi (69)";"2015";16534
"Sarpi (69)";"2016";16664
"Sarpi (69)";"2017";16927
"Sarpi (69)";"2018";17157
"Sarpi (69)";"2019";17308
"Sarpi (69)";"2020";17138
"Sarpi (69)";"2021";17051
"Sarpi (69)";"2022";17194
"Sarpi (69)";"2023";17638
"Ghisolfa (70)";"1999";8754
"Ghisolfa (70)";"2000";8914
"Ghisolfa (70)";"2001";9098
"Ghisolfa (70)";"2002";9058
"Ghisolfa (70)";"2003";8648
"Ghisolfa (70)";"2004";8950
"Ghisolfa (70)";"2005";8975
"Ghisolfa (70)";"2006";8908
"Ghisolfa (70)";"2007";8871
"Ghisolfa (70)";"2008";8867
"Ghisolfa (70)";"2009";8970
"Ghisolfa (70)";"2010";9149
"Ghisolfa (70)";"2011";9320
"Ghisolfa (70)";"2012";9505
"Ghisolfa (70)";"2013";9535
"Ghisolfa (70)";"2014";9374
"Ghisolfa (70)";"2015";9455
"Ghisolfa (70)";"2016";9559
"Ghisolfa (70)";"2017";9771
"Ghisolfa (70)";"2018";9840
"Ghisolfa (70)";"2019";10023
"Ghisolfa (70)";"2020";9968
"Ghisolfa (70)";"2021";9919
"Ghisolfa (70)";"2022";9956
"Ghisolfa (70)";"2023";10319
"Villapizzone - Cagnola - Boldinasco (71)";"1999";18064
"Villapizzone - Cagnola - Boldinasco (71)";"2000";18178
"Villapizzone - Cagnola - Boldinasco (71)";"2001";18467
"Villapizzone - Cagnola - Boldinasco (71)";"2002";18412
"Villapizzone - Cagnola - Boldinasco (71)";"2003";17788
"Villapizzone - Cagnola - Boldinasco (71)";"2004";18830
"Villapizzone - Cagnola - Boldinasco (71)";"2005";19189
"Villapizzone - Cagnola - Boldinasco (71)";"2006";19196
"Villapizzone - Cagnola - Boldinasco (71)";"2007";19282
"Villapizzone - Cagnola - Boldinasco (71)";"2008";19490
"Villapizzone - Cagnola - Boldinasco (71)";"2009";19945
"Villapizzone - Cagnola - Boldinasco (71)";"2010";20417
"Villapizzone - Cagnola - Boldinasco (71)";"2011";21065
"Villapizzone - Cagnola - Boldinasco (71)";"2012";21780
"Villapizzone - Cagnola - Boldinasco (71)";"2013";21663
"Villapizzone - Cagnola - Boldinasco (71)";"2014";21166
"Villapizzone - Cagnola - Boldinasco (71)";"2015";21357
"Villapizzone - Cagnola - Boldinasco (71)";"2016";21471
"Villapizzone - Cagnola - Boldinasco (71)";"2017";21684
"Villapizzone - Cagnola - Boldinasco (71)";"2018";21903
"Villapizzone - Cagnola - Boldinasco (71)";"2019";22329
"Villapizzone - Cagnola - Boldinasco (71)";"2020";22062
"Villapizzone - Cagnola - Boldinasco (71)";"2021";22062
"Villapizzone - Cagnola - Boldinasco (71)";"2022";22395
"Villapizzone - Cagnola - Boldinasco (71)";"2023";23183
"Maggiore - Musocco - Certosa (72)";"1999";2076
"Maggiore - Musocco - Certosa (72)";"2000";2069
"Maggiore - Musocco - Certosa (72)";"2001";2128
"Maggiore - Musocco - Certosa (72)";"2002";2173
"Maggiore - Musocco - Certosa (72)";"2003";2103
"Maggiore - Musocco - Certosa (72)";"2004";2234
"Maggiore - Musocco - Certosa (72)";"2005";2353
"Maggiore - Musocco - Certosa (72)";"2006";2437
"Maggiore - Musocco - Certosa (72)";"2007";2500
"Maggiore - Musocco - Certosa (72)";"2008";2529
"Maggiore - Musocco - Certosa (72)";"2009";2612
"Maggiore - Musocco - Certosa (72)";"2010";2648
"Maggiore - Musocco - Certosa (72)";"2011";2520
"Maggiore - Musocco - Certosa (72)";"2012";2552
"Maggiore - Musocco - Certosa (72)";"2013";2539
"Maggiore - Musocco - Certosa (72)";"2014";2518
"Maggiore - Musocco - Certosa (72)";"2015";2526
"Maggiore - Musocco - Certosa (72)";"2016";2616
"Maggiore - Musocco - Certosa (72)";"2017";2897
"Maggiore - Musocco - Certosa (72)";"2018";3233
"Maggiore - Musocco - Certosa (72)";"2019";3520
"Maggiore - Musocco - Certosa (72)";"2020";3720
"Maggiore - Musocco - Certosa (72)";"2021";3994
"Maggiore - Musocco - Certosa (72)";"2022";4556
"Maggiore - Musocco - Certosa (72)";"2023";4929
"Cascina Merlata (73)";"1999";6
"Cascina Merlata (73)";"2000";5
"Cascina Merlata (73)";"2001";11
"Cascina Merlata (73)";"2002";34
"Cascina Merlata (73)";"2003";70
"Cascina Merlata (73)";"2004";95
"Cascina Merlata (73)";"2005";102
"Cascina Merlata (73)";"2006";122
"Cascina Merlata (73)";"2007";141
"Cascina Merlata (73)";"2008";157
"Cascina Merlata (73)";"2009";197
"Cascina Merlata (73)";"2010";246
"Cascina Merlata (73)";"2011";315
"Cascina Merlata (73)";"2012";415
"Cascina Merlata (73)";"2013";477
"Cascina Merlata (73)";"2014";588
"Cascina Merlata (73)";"2015";679
"Cascina Merlata (73)";"2016";717
"Cascina Merlata (73)";"2017";769
"Cascina Merlata (73)";"2018";813
"Cascina Merlata (73)";"2019";873
"Cascina Merlata (73)";"2020";888
"Cascina Merlata (73)";"2021";870
"Cascina Merlata (73)";"2022";896
"Cascina Merlata (73)";"2023";960
"Roserio (74)";"1999";106
"Roserio (74)";"2000";115
"Roserio (74)";"2001";119
"Roserio (74)";"2002";121
"Roserio (74)";"2003";117
"Roserio (74)";"2004";120
"Roserio (74)";"2005";122
"Roserio (74)";"2006";120
"Roserio (74)";"2007";112
"Roserio (74)";"2008";113
"Roserio (74)";"2009";112
"Roserio (74)";"2010";116
"Roserio (74)";"2011";115
"Roserio (74)";"2012";114
"Roserio (74)";"2013";115
"Roserio (74)";"2014";115
"Roserio (74)";"2015";119
"Roserio (74)";"2016";120
"Roserio (74)";"2017";122
"Roserio (74)";"2018";127
"Roserio (74)";"2019";130
"Roserio (74)";"2020";123
"Roserio (74)";"2021";119
"Roserio (74)";"2022";125
"Roserio (74)";"2023";139
"Stephenson (75)";"1999";26
"Stephenson (75)";"2000";25
"Stephenson (75)";"2001";26
"Stephenson (75)";"2002";26
"Stephenson (75)";"2003";22
"Stephenson (75)";"2004";21
"Stephenson (75)";"2005";21
"Stephenson (75)";"2006";25
"Stephenson (75)";"2007";25
"Stephenson (75)";"2008";26
"Stephenson (75)";"2009";27
"Stephenson (75)";"2010";28
"Stephenson (75)";"2011";27
"Stephenson (75)";"2012";27
"Stephenson (75)";"2013";27
"Stephenson (75)";"2014";34
"Stephenson (75)";"2015";38
"Stephenson (75)";"2016";35
"Stephenson (75)";"2017";49
"Stephenson (75)";"2018";53
"Stephenson (75)";"2019";59
"Stephenson (75)";"2020";65
"Stephenson (75)";"2021";70
"Stephenson (75)";"2022";87
"Stephenson (75)";"2023";94
"Quarto Oggiaro - Vialba - Musocco (76)";"1999";13115
"Quarto Oggiaro - Vialba - Musocco (76)";"2000";13395
"Quarto Oggiaro - Vialba - Musocco (76)";"2001";13572
"Quarto Oggiaro - Vialba - Musocco (76)";"2002";13493
"Quarto Oggiaro - Vialba - Musocco (76)";"2003";13272
"Quarto Oggiaro - Vialba - Musocco (76)";"2004";13718
"Quarto Oggiaro - Vialba - Musocco (76)";"2005";14113
"Quarto Oggiaro - Vialba - Musocco (76)";"2006";14326
"Quarto Oggiaro - Vialba - Musocco (76)";"2007";14436
"Quarto Oggiaro - Vialba - Musocco (76)";"2008";14613
"Quarto Oggiaro - Vialba - Musocco (76)";"2009";14809
"Quarto Oggiaro - Vialba - Musocco (76)";"2010";14949
"Quarto Oggiaro - Vialba - Musocco (76)";"2011";15075
"Quarto Oggiaro - Vialba - Musocco (76)";"2012";15248
"Quarto Oggiaro - Vialba - Musocco (76)";"2013";14962
"Quarto Oggiaro - Vialba - Musocco (76)";"2014";14638
"Quarto Oggiaro - Vialba - Musocco (76)";"2015";14633
"Quarto Oggiaro - Vialba - Musocco (76)";"2016";14567
"Quarto Oggiaro - Vialba - Musocco (76)";"2017";14499
"Quarto Oggiaro - Vialba - Musocco (76)";"2018";14582
"Quarto Oggiaro - Vialba - Musocco (76)";"2019";14752
"Quarto Oggiaro - Vialba - Musocco (76)";"2020";14758
"Quarto Oggiaro - Vialba - Musocco (76)";"2021";14929
"Quarto Oggiaro - Vialba - Musocco (76)";"2022";15290
"Quarto Oggiaro - Vialba - Musocco (76)";"2023";15970
"Bovisa (77)";"1999";5794
"Bovisa (77)";"2000";5924
"Bovisa (77)";"2001";6105
"Bovisa (77)";"2002";6080
"Bovisa (77)";"2003";5730
"Bovisa (77)";"2004";6191
"Bovisa (77)";"2005";6335
"Bovisa (77)";"2006";6353
"Bovisa (77)";"2007";6372
"Bovisa (77)";"2008";6379
"Bovisa (77)";"2009";6637
"Bovisa (77)";"2010";6814
"Bovisa (77)";"2011";7093
"Bovisa (77)";"2012";7441
"Bovisa (77)";"2013";7448
"Bovisa (77)";"2014";7338
"Bovisa (77)";"2015";7580
"Bovisa (77)";"2016";7754
"Bovisa (77)";"2017";7900
"Bovisa (77)";"2018";7943
"Bovisa (77)";"2019";8077
"Bovisa (77)";"2020";7997
"Bovisa (77)";"2021";8025
"Bovisa (77)";"2022";8149
"Bovisa (77)";"2023";8403
"Farini (78)";"1999";1550
"Farini (78)";"2000";1624
"Farini (78)";"2001";1687
"Farini (78)";"2002";1704
"Farini (78)";"2003";1678
"Farini (78)";"2004";1895
"Farini (78)";"2005";1969
"Farini (78)";"2006";1969
"Farini (78)";"2007";1952
"Farini (78)";"2008";1967
"Farini (78)";"2009";2023
"Farini (78)";"2010";2132
"Farini (78)";"2011";2229
"Farini (78)";"2012";2349
"Farini (78)";"2013";2374
"Farini (78)";"2014";2303
"Farini (78)";"2015";2286
"Farini (78)";"2016";2273
"Farini (78)";"2017";2272
"Farini (78)";"2018";2239
"Farini (78)";"2019";2241
"Farini (78)";"2020";2228
"Farini (78)";"2021";2205
"Farini (78)";"2022";2232
"Farini (78)";"2023";2352
"Dergano (79)";"1999";8644
"Dergano (79)";"2000";8919
"Dergano (79)";"2001";9316
"Dergano (79)";"2002";9209
"Dergano (79)";"2003";8844
"Dergano (79)";"2004";9773
"Dergano (79)";"2005";10080
"Dergano (79)";"2006";10207
"Dergano (79)";"2007";10299
"Dergano (79)";"2008";10385
"Dergano (79)";"2009";10735
"Dergano (79)";"2010";11122
"Dergano (79)";"2011";11599
"Dergano (79)";"2012";12199
"Dergano (79)";"2013";12219
"Dergano (79)";"2014";12007
"Dergano (79)";"2015";12257
"Dergano (79)";"2016";12335
"Dergano (79)";"2017";12509
"Dergano (79)";"2018";12654
"Dergano (79)";"2019";12926
"Dergano (79)";"2020";13017
"Dergano (79)";"2021";13160
"Dergano (79)";"2022";13467
"Dergano (79)";"2023";14026
"Affori (80)";"1999";9200
"Affori (80)";"2000";9436
"Affori (80)";"2001";9585
"Affori (80)";"2002";9476
"Affori (80)";"2003";9193
"Affori (80)";"2004";9973
"Affori (80)";"2005";10357
"Affori (80)";"2006";10570
"Affori (80)";"2007";10731
"Affori (80)";"2008";10878
"Affori (80)";"2009";11189
"Affori (80)";"2010";11567
"Affori (80)";"2011";11974
"Affori (80)";"2012";12644
"Affori (80)";"2013";12625
"Affori (80)";"2014";12495
"Affori (80)";"2015";12679
"Affori (80)";"2016";12798
"Affori (80)";"2017";12877
"Affori (80)";"2018";13126
"Affori (80)";"2019";13306
"Affori (80)";"2020";13334
"Affori (80)";"2021";13477
"Affori (80)";"2022";13792
"Affori (80)";"2023";14468
"Bovisasca (81)";"1999";3123
"Bovisasca (81)";"2000";3131
"Bovisasca (81)";"2001";3127
"Bovisasca (81)";"2002";3142
"Bovisasca (81)";"2003";3037
"Bovisasca (81)";"2004";3122
"Bovisasca (81)";"2005";3156
"Bovisasca (81)";"2006";3196
"Bovisasca (81)";"2007";3257
"Bovisasca (81)";"2008";3265
"Bovisasca (81)";"2009";3312
"Bovisasca (81)";"2010";3378
"Bovisasca (81)";"2011";3400
"Bovisasca (81)";"2012";3455
"Bovisasca (81)";"2013";3432
"Bovisasca (81)";"2014";3400
"Bovisasca (81)";"2015";3383
"Bovisasca (81)";"2016";3369
"Bovisasca (81)";"2017";3412
"Bovisasca (81)";"2018";3382
"Bovisasca (81)";"2019";3566
"Bovisasca (81)";"2020";3532
"Bovisasca (81)";"2021";3505
"Bovisasca (81)";"2022";3557
"Bovisasca (81)";"2023";3759
"Comasina (82)";"1999";3837
"Comasina (82)";"2000";3895
"Comasina (82)";"2001";3961
"Comasina (82)";"2002";3982
"Comasina (82)";"2003";3886
"Comasina (82)";"2004";4065
"Comasina (82)";"2005";4172
"Comasina (82)";"2006";4204
"Comasina (82)";"2007";4243
"Comasina (82)";"2008";4239
"Comasina (82)";"2009";4294
"Comasina (82)";"2010";4385
"Comasina (82)";"2011";4523
"Comasina (82)";"2012";4684
"Comasina (82)";"2013";4589
"Comasina (82)";"2014";4511
"Comasina (82)";"2015";4499
"Comasina (82)";"2016";4495
"Comasina (82)";"2017";4495
"Comasina (82)";"2018";4535
"Comasina (82)";"2019";4575
"Comasina (82)";"2020";4538
"Comasina (82)";"2021";4589
"Comasina (82)";"2022";4820
"Comasina (82)";"2023";5102
"Bruzzano (83)";"1999";5035
"Bruzzano (83)";"2000";5115
"Bruzzano (83)";"2001";5190
"Bruzzano (83)";"2002";5100
"Bruzzano (83)";"2003";5014
"Bruzzano (83)";"2004";5192
"Bruzzano (83)";"2005";5244
"Bruzzano (83)";"2006";5238
"Bruzzano (83)";"2007";5294
"Bruzzano (83)";"2008";5364
"Bruzzano (83)";"2009";5594
"Bruzzano (83)";"2010";5753
"Bruzzano (83)";"2011";5915
"Bruzzano (83)";"2012";6020
"Bruzzano (83)";"2013";6126
"Bruzzano (83)";"2014";6111
"Bruzzano (83)";"2015";6166
"Bruzzano (83)";"2016";6166
"Bruzzano (83)";"2017";6190
"Bruzzano (83)";"2018";6190
"Bruzzano (83)";"2019";6208
"Bruzzano (83)";"2020";6170
"Bruzzano (83)";"2021";6174
"Bruzzano (83)";"2022";6241
"Bruzzano (83)";"2023";6388
"Parco Nord (84)";"1999";67
"Parco Nord (84)";"2000";66
"Parco Nord (84)";"2001";67
"Parco Nord (84)";"2002";67
"Parco Nord (84)";"2003";64
"Parco Nord (84)";"2004";66
"Parco Nord (84)";"2005";69
"Parco Nord (84)";"2006";62
"Parco Nord (84)";"2007";74
"Parco Nord (84)";"2008";73
"Parco Nord (84)";"2009";69
"Parco Nord (84)";"2010";70
"Parco Nord (84)";"2011";76
"Parco Nord (84)";"2012";76
"Parco Nord (84)";"2013";70
"Parco Nord (84)";"2014";49
"Parco Nord (84)";"2015";49
"Parco Nord (84)";"2016";52
"Parco Nord (84)";"2017";50
"Parco Nord (84)";"2018";49
"Parco Nord (84)";"2019";53
"Parco Nord (84)";"2020";56
"Parco Nord (84)";"2021";57
"Parco Nord (84)";"2022";52
"Parco Nord (84)";"2023";49
"Parco delle Abbazie (85)";"1999";128
"Parco delle Abbazie (85)";"2000";133
"Parco delle Abbazie (85)";"2001";133
"Parco delle Abbazie (85)";"2002";131
"Parco delle Abbazie (85)";"2003";126
"Parco delle Abbazie (85)";"2004";133
"Parco delle Abbazie (85)";"2005";128
"Parco delle Abbazie (85)";"2006";130
"Parco delle Abbazie (85)";"2007";147
"Parco delle Abbazie (85)";"2008";177
"Parco delle Abbazie (85)";"2009";193
"Parco delle Abbazie (85)";"2010";201
"Parco delle Abbazie (85)";"2011";208
"Parco delle Abbazie (85)";"2012";226
"Parco delle Abbazie (85)";"2013";219
"Parco delle Abbazie (85)";"2014";204
"Parco delle Abbazie (85)";"2015";195
"Parco delle Abbazie (85)";"2016";184
"Parco delle Abbazie (85)";"2017";172
"Parco delle Abbazie (85)";"2018";170
"Parco delle Abbazie (85)";"2019";180
"Parco delle Abbazie (85)";"2020";166
"Parco delle Abbazie (85)";"2021";181
"Parco delle Abbazie (85)";"2022";171
"Parco delle Abbazie (85)";"2023";188
"Parco dei Navigli (86)";"1999";166
"Parco dei Navigli (86)";"2000";174
"Parco dei Navigli (86)";"2001";177
"Parco dei Navigli (86)";"2002";170
"Parco dei Navigli (86)";"2003";150
"Parco dei Navigli (86)";"2004";144
"Parco dei Navigli (86)";"2005";146
"Parco dei Navigli (86)";"2006";154
"Parco dei Navigli (86)";"2007";162
"Parco dei Navigli (86)";"2008";158
"Parco dei Navigli (86)";"2009";149
"Parco dei Navigli (86)";"2010";144
"Parco dei Navigli (86)";"2011";151
"Parco dei Navigli (86)";"2012";154
"Parco dei Navigli (86)";"2013";160
"Parco dei Navigli (86)";"2014";160
"Parco dei Navigli (86)";"2015";154
"Parco dei Navigli (86)";"2016";152
"Parco dei Navigli (86)";"2017";149
"Parco dei Navigli (86)";"2018";154
"Parco dei Navigli (86)";"2019";164
"Parco dei Navigli (86)";"2020";163
"Parco dei Navigli (86)";"2021";171
"Parco dei Navigli (86)";"2022";180
"Parco dei Navigli (86)";"2023";187
"Assiano (87)";"1999";97
"Assiano (87)";"2000";99
"Assiano (87)";"2001";102
"Assiano (87)";"2002";89
"Assiano (87)";"2003";76
"Assiano (87)";"2004";79
"Assiano (87)";"2005";84
"Assiano (87)";"2006";86
"Assiano (87)";"2007";84
"Assiano (87)";"2008";89
"Assiano (87)";"2009";107
"Assiano (87)";"2010";114
"Assiano (87)";"2011";121
"Assiano (87)";"2012";127
"Assiano (87)";"2013";137
"Assiano (87)";"2014";137
"Assiano (87)";"2015";140
"Assiano (87)";"2016";133
"Assiano (87)";"2017";127
"Assiano (87)";"2018";137
"Assiano (87)";"2019";127
"Assiano (87)";"2020";117
"Assiano (87)";"2021";96
"Assiano (87)";"2022";107
"Assiano (87)";"2023";108
"Parco Bosco in citta' (88)";"1999";225
"Parco Bosco in citta' (88)";"2000";217
"Parco Bosco in citta' (88)";"2001";254
"Parco Bosco in citta' (88)";"2002";188
"Parco Bosco in citta' (88)";"2003";155
"Parco Bosco in citta' (88)";"2004";202
"Parco Bosco in citta' (88)";"2005";300
"Parco Bosco in citta' (88)";"2006";370
"Parco Bosco in citta' (88)";"2007";362
"Parco Bosco in citta' (88)";"2008";368
"Parco Bosco in citta' (88)";"2009";417
"Parco Bosco in citta' (88)";"2010";454
"Parco Bosco in citta' (88)";"2011";357
"Parco Bosco in citta' (88)";"2012";267
"Parco Bosco in citta' (88)";"2013";214
"Parco Bosco in citta' (88)";"2014";217
"Parco Bosco in citta' (88)";"2015";217
"Parco Bosco in citta' (88)";"2016";206
"Parco Bosco in citta' (88)";"2017";282
"Parco Bosco in citta' (88)";"2018";330
"Parco Bosco in citta' (88)";"2019";355
"Parco Bosco in citta' (88)";"2020";351
"Parco Bosco in citta' (88)";"2021";348
"Parco Bosco in citta' (88)";"2022";362
"Parco Bosco in citta' (88)";"2023";385
